標題,時間,內文,問題摘要,type,回答
輔大統資/東吳資科,2024/5/30 下午 2:25:32,"不知道大家會怎麼選擇
兩者的教學內容看起來差不多
輔大較為注重數學方面，交通也比較方便，我個人也蠻有興趣的。
東吳較為注重大數據方面，交通較不方便在外雙溪，課程內容比較吸引我。

我一直很猶豫到底應該去哪裡，請大家給我一點建議謝謝。",猶豫於輔大統資（交通方便、偏重數學）與東吳資科（外雙溪、偏重大數據）之間，尋求科系選擇建議。,2,你好！我是東吳資科的學長。輔大統資著重於傳統統計與資訊應用，東吳資科（前身是巨量資料學程）則是非常純粹的「Data Science」，課程完全瞄準業界最缺的大數據工程與人工智慧。如果你對AI和大數據更有興趣，東吳資科的課程設計（包含機器學習、跨領域實務等）會讓你學得更有成就感。外雙溪校區雖然遠一點，但也是個可以好好靜下心來寫程式的好地方！
國13 英12 適合考分科嗎,2022/4/2 下午 6:28:03,"想請問各位朋友們
你們覺得我學測成績
國文13 英文12（本來13 因為沒簽名被扣一級分）
我上網查過 如果是被扣一級分的話
會先用原始級分的成績轉成分科的級分（滿級60）
再扣一級分 這樣比重會比較輕
反正我現在真的很猶豫要不要考分科
目前一階是上了
中正成教/東吳會計/輔仁資管/東吳資科
殼以給我一點小小的意見嗎拜託了🤧❤️‍🔥",一階已上中正成教、東吳會計、輔仁資管、東吳資科，猶豫是否要考分科測驗，尋求意見與選擇建議。,2,你好！既然已經一階上了東吳資科跟輔仁資管，身為資科系的學長建議你可以先全力準備面試！如果對AI和大數據有興趣，東吳資科是非常有發展潛力的科系，不用執著於分科（因為分科的不確定性更高，且競爭激烈）。先穩穩拿下正取吧，加油！
東吳資管/資科面試,2024/3/29 上午 10:38:46,"今天一階放榜很開心兩個科系都過了一階🥹🥹
想請問面試的時候教授通常都會怎麼問問題？
過往的面試問題大概都是怎麼樣的？
還有如果兩個科系很幸運都上了的話哪個科系對未來出路比較廣泛？
謝謝大家我真的對面試毫無頭緒😭😭",詢問東吳資管與資科面試時教授通常會問什麼問題；並請益若兩個科系皆錄取，哪一個對未來出路比較廣泛。,2,恭喜過一階！資科面試教授通常會問：1. 為什麼想念資料科學？ 2. 高中是否有遇過什麼困難並如何解決？ 3. 對大數據或AI有什麼初步認識？建議準備一個一分鐘自我介紹，強調你的邏輯能力或數學/資訊成績。未來的出路資管較廣（軟硬體、商管），資科較深而專精（大數據、AI），端看你喜歡廣泛涉獵還是專精高薪技術囉！
《112推甄》面試分享-清大、政大、台科、中興、東吳,2022/11/30 上午 9:58:13,"推甄期間參考許多版上的文章，順利上岸後把想面試過程回饋給末來的學弟妹，希望對你們有幫助~\(≧▽≦)/~

📌 清大科管［二階沒過］
（個人面試；兩關各7分鐘；每關3位教授）
第一關
1. 自我介紹2-3分鐘
2. 優勢是什麼
3. 為什麼想讀科管
4. 個人經歷相關問題（競賽經驗）

第二關
1. （中英皆可）自我介紹2-3分鐘
2. （英文題）有沒有什麼比較少人知道關於自己的事情
3. （中文題）詢問大專生計畫相關問題

📌 政大資科（資工一般組）［備取］
（個人面試；一關6分鐘；共3位教授）
1. 自我介紹
2. 過去做過的專題
3. 詢問大專生計畫相關問題

📌 台科企研［正取］
（個人面試；兩關各5分鐘；各3位教授）
第一關
1. 自我介紹（約1分鐘）
2. 詢問過去做過的專題

第二關
2. 自我介紹（約1分鐘）
3. 未來研究方向
4. 有沒有實習過
5. 印象深刻的課程


📌 中興科管（科技管理組）［正取］
（個人面試；一關7分鐘；共3位教授）
1. 自我介紹
2. 最近讀過的書籍
3. （曾經參加過AWS Educate Taiwan 的活動）詢問活動經歷
4. AWS跟Google 比較偏好使用哪一種？

📌 東吳資科［正取］
（個人面試；一關5分鐘；共3位教授）
1. 自我介紹 1分鐘
2. 有申請其他學校嗎？
3. 研究領域
4. 個人經歷相關問題",無問題（純推甄面試心得分享，涵蓋清大、政大、台科、中興、東吳等多所學校）。,1,
學測成績請益,2023/3/5 下午 5:06:34,"借朋友帳號發文
各位學長姐好，可以請大家給我一點建議嗎？謝謝！

學測成績
國 11（均）
英 15 （頂）
數A 5 （後）
數B 9 （均）
自 8 （後）
社 9（均）
目前沒有考慮分科或重考，請問這樣的成績可以上哪些大學的資工或資管相關科系？
有考慮輔仁資工、淡江全英語資工、東吳資科、中原加威大資工電機
麻煩大家幫忙解惑，謝謝！",詢問依目前學測成績可報考哪些大學的資工或資管相關科系，並請益輔大資工、淡江資工、東吳資科、中原資工等校系的機會。,2,你好！我是東吳資科的學長。你的英文非常好，數B和社會也達均標，申請東吳資科是非常有機會的！資科系有不少原文書或需要閱讀英文技術文件，你的英文優勢會滿吃香的。如果對大數據有興趣，可以大膽填寫！
東吳資科備取,2024/5/31 上午 12:00:53,"小的想問今年備取45是否有望🥹🥹

（正取59備取110",詢問今年東吳資科備取45名是否有機會錄取。,2,你好！我是資科系學長。東吳資科歷年的備取流動率通常滿高的，因為很多同學會同時考上國立或中字輩的學校而放棄。備取45是很有機會的！建議可以參考前幾年的交叉查榜紀錄，耐心等候，祝你順利上岸當我們的學弟/妹！
東吳資料科學&東吳企管要怎麼選？,2022/5/31 上午 11:44:23,"如題，放榜之後就要開始決定志願序了
我企管正取，資料科學備取3，看歷年最低錄取資格我應該有機會上，但是兩個科系我都還蠻喜歡的，好難選🤯
想請教學長姐們比較推薦哪一個科系？
另外也想請問資料科學系的程式設計會很難嗎？如果高中階段沒有寫程式的經驗，進去之後學得來嗎🥲
希望大家可以給我一點意見，謝謝！",詢問東吳資料科學系與企管系比較推薦哪一個；並請益資科系的程式設計對於高中無基礎者是否學得來。,2,學弟/妹你好！如果你想要掌握未來AI跟資料分析的硬實力，非常推薦來資科！程式設計（Python）教授都會從零開始教，絕大多數高中沒有基礎的同學也都能學得很好，重點是課後要「多練習」。資科系出路的專業性很強，起薪通常也會比企管高一點。如果對商管也有興趣，東吳申請輔系或雙主修企管也很方便，進可攻退可守喔！
回應學弟妹對資科系的疑惑與好奇,2025/8/3 下午 12:55:56,"Hi學弟妹們，偶是資科系的學長，因為前幾天看到有一篇新生對於資科系的好奇，因此由感而發，想說可以來介紹一下資科系。首先資科系全銜為""資料科學系""，不是資訊科學系，所以學的方面是偏向資料分析、大數據這part，而非資管系架設Web或資工系做演算法開發、軟體或韌體之類的。而至於大學畢業後的研究所，系上有些會想去資工所、資管所、資科所(台大、陽交、中興等)，去爭取碩士學位，對未來就業也有相當的幫助!
 
至於師資的部分，以學長偶自己的experiences來說，因為偶們系是東吳最晚成立的系所，處於一個剛起步的時期，所以教授都很積極且很認真想要教栽培偶們。有多位教授都是業界牛逼的存在，跟著他們必定會學到很多，參加教授所領導的lab也會讓尼們都能有所收穫。

至於課堂部分，學弟妹只要懂得運用Chatgpt、Gemini ai、Copilot等各種AI tools，就可以很好的在程式設計、網頁程式設計、計算機概論等課堂中獲取高分!畢竟程式設計的期中期末都是可以使用輔助AI工具的。

人際關係的部分，重點是跟""學長姊""打好關係，最好能巴結就巴結，尼們如果有什麼小考或期中期末考就可以跟他們拿考古，這很重要!!!!!沒有考古會跟有考古的人差很多歐，有考古題前一天背背答案就可以輕鬆過甚至學期末拿書卷，沒考古即使天資再聰穎也會很吃力。

教室的部分就是電腦教室很香，階梯教室也還可以，小教室就很糟糕，想像70人擠一間高中舊教室的感覺，對大概就是尼現在腦海中浮現的~


學弟妹們加油歐，期待之後在學校相遇囉


(p.s.有些科目期末考不會發考卷，尼們只會知道分數，所以沒有argue的餘地歐)",無問題（學長經驗分享，介紹資科系學習內容、師資、課堂應對與人際關係建議）。,1,
東吳的帥學長漂亮學姊請進,2022/3/10 下午 6:55:35,"學測成績如下：

國：12（前）
英：12（前）
數A：6（均）
數B：11（前）
社：13（頂）

東吳可以說是私立商學院的頭頭！
想請問學長姐有沒有推薦的商科科系？
（希望是未來出路明確的科系！）

BTW 今天與學校輔導老師聊過
他建議我可以讀資訊相關的科系
想請問學長姐們會推東吳的資管和資科嗎？",詢問東吳大學有無推薦且未來出路明確的商科科系；並請益是否推薦東吳資管與資科。,2,哈囉！你的數B和社會都滿高的，如果對資訊有興趣，東吳的資科非常推！東吳資科研讀的是大數據跟AI，是未來科技業與金融業最需要的高薪人才；資管則結合商管與資訊，如果你對純寫程式有點怕，資管是不錯的緩衝。兩者都是未來的熱門出路，歡迎加入東吳大家庭！
給今年資料系的轉學生,2022/8/9 下午 10:22:17,"給資科系的轉學生們:
 歡迎來到東吳大學這個大家庭，這邊代表轉聯會也給予各位一些建議，
曾經也是一樣迷惘著，到最後成功走過來的我們，希望也可以利用這些經驗，
能夠給予各位一些實質上的建議，此言論只出自於我個人想法，僅供參考。

 系上給分大多算寬裕，只要有用心準備，分數其實都挺好看的 !

以下分享幾個我修過的課程:
(很多課都還是必修，所以還是得上，星星數只是 ""見仁見智"" )

[程式設計]⭐️⭐️⭐️⭐️
系上主要是用python，課程難易度還好，主要就是都在學語法較多，
每次上課結束通常都會有作業，但不會太難，就都幾個小程式當作練習而已。
程設(二)期末會分組做專題!! 

[線性代數]⭐️⭐️
自己得多花心力在上面@@

[巨量資料概論]⭐️⭐️⭐️
前期抄筆記，後期學一些軟體操作。
團隊分工為主，也不會太硬 分數甜
會用到R、Tableau

[資料分析軟體]⭐️⭐️⭐️⭐️⭐️
會學網路爬蟲! 蠻推薦這門課的!!!
老師教的不錯
python盡量語法要熟!!

[資訊安全與倫理]⭐️⭐️⭐️
照著PPT唸居多，偶爾會分享一些例子

[物聯網實務]⭐️⭐️⭐️
會用一些arduino等相關零組件做實際練習!

[機率統計]⭐️⭐️⭐️
共一學年，上學期教的其實都跟高中相差不會太遠，
大二下好像才會有比較多新的東西

[資料庫導論]⭐️⭐️
一學期下來，其實學到的真的不多，進度有些緩慢，
簡單的東西又被拉得很遠，講的有些複雜?

[網頁程式設計]⭐️⭐️⭐️
教學主要採用PHP語法，期末也是要分組做出一個專題網站!

[巨量資料處理架構]⭐️⭐️⭐️⭐️⭐️
讚阿，好好上，未來真的會有幫助
老師很認真，教得也很好
docker、container觀念、Hadoop等等都會給予相關知識，
Linux語法也是從這堂課開始有了更多的概念
容器化技術在未來若是走雲產業相關的工作，或者想走Devops工程師之類職務者，
是必學的東西!!!
現在整個企業也都漸漸從地端要走向上雲了，
所以一些容器相關的知識也越來越重要了!

[資料工程]⭐️⭐️⭐️⭐️
虛擬機的初體驗，雖然前期可能會裝軟體裝到懷疑人生(在VM上面)，
課程上下來也就是照著老師的影片做一模一樣的動作。
若可以，仔細去了解每個步驟，pipeline呀甚麼的!!
現在看過去，還是算挺有助益的，也至少有了一點點自己實作的經驗。
ElasticSearch、Kibana等等，在業界都是有在使用的軟體。

以上！ 祝福各位都有充實的東吳生活～！",無問題（學長針對轉學生分享東吳資科系各門課程的修課心得與評分）。,1,
#請益 雙主修延畢or輔系or研究所,2025/4/27 下午 8:02:41,"各位學長姐好🙇🏻‍♀️本人目前就讀國貿系大一，明天就要開始申請雙主輔了，本來是在考慮要不要雙主資科系（成績有到門檻），因為對資訊有點興趣又是未來趨勢。但跟家人討論之後他們覺得法律+商也會有不一樣的優勢，所以漸漸的有被打動。

但問題是因為之前從來沒有想過要雙主或輔法律系所以自己的成績沒辦法申請法律系（目前期望自己下學期的成績能達到標準）。再加上法律系要讀五年，雙主修又基本一定會延畢，自己本來有規劃畢業之後想要去國外讀研究所，不知道為了法律系or資科系的文憑而推遲自己去國外讀研的計劃是不是好的選擇

目前有統整幾個問題想請問東吳的學長姊們🙇🏻‍♀️
1. 推薦雙主修法律還是資科
2. 若推薦法律有什麼課程是沒申請上法律系也能先修的課嗎（法律系有關的）（這題很伸手真的很對不起不回答也沒關係🙏🏻）
3. 本來有計劃出國讀研究所，應該是一定會，那還要為了雙主修延畢嗎
超級無敵感謝學長姐們TT

目前想到的未來規劃可能有
➡️順利申請上雙主資科系順利畢業（或延畢）然後去讀研究所
➡️下學期成績有到然後順利申請上法律系但不知道會延畢幾年然後去讀研究所
➡️什麼都沒申請上顧好本系成績然後去讀研究所

謝謝各位學長姐閱讀完這篇文章，不管什麼建議都超級感謝你們的留言😭",詢問國貿系雙主修推薦法律還是資科；若選法律有無沒申請上也能先修的課；以及為了雙主修而延畢是否會影響出國讀研的計畫。,2,學妹你好！我是資科系的學長。雙主修資科對國貿系絕對是如虎添翼，現在外商跟大企業非常喜歡「懂商業邏輯又會寫程式跑數據」的人才。至於出國讀研究所，國外的Data Analytics（商業分析）碩士非常看重你在大學有沒有修過程式與統計，所以如果能雙主修或輔系資科，對你申請國外頂尖名校會超級大加分！可以衡量一下自己的時間，若怕嚴重延畢，輔系也是不錯的折衷選擇！
東吳碩專選擇,2025/3/18 下午 4:17:41,"錄取了東吳企業管理和資料科學系，想了解有就讀經驗的學長姐會如何推薦？

本身近20年工作經驗，上市公司經理職，擔任過零售業銷售主管，近年負責較多

營運管理工作（數據分析、SOP、系統優化…等），前幾年學了PowerBI，也略懂Python

本身對數據 / 程式 / AI 也蠻有興趣，所以報了資科系，但畢竟不是這專業出身，

企管對未來職涯的泛用性感覺較高，有點選擇困難。",具多年營運管理經驗且略懂Python，錄取東吳企管與資科碩專班，詢問該如何選擇與學長姐的推薦。,2,您好！我是資科系學長。如果有近20年營運管理經驗且略懂Python，來東吳資科碩專班會是非常好的「鍍金與技術升級」。企業現在非常缺乏「懂Domain Know-how又懂數據分析」的跨界高階人才。企管對您來說可能是錦上添花，但資科研讀的領域能讓您掌握AI與大數據的核心技術，這對您在系統優化與營運決策上會有更具突破性的幫助！
