prompt:,"
幫我依照內文的內容判斷他是不是在問有關東吳資科的相關問題，假如是，那在type那個欄位上標上2，如果是單純給學弟妹心得的標上1，如果是既不是來問問題有不是給心得建議的給3，如果是標上2的，幫我在內文右邊的欄位加上一個回答，由你來回答，你可以扮演東吳大學資科系的學長來回答，訊息來源可以來自東吳官網及大學問官網
其餘沒有提到的部分集資就不要動，好了給我一份新的完整csv檔",,,,,
其他,,2,請益資訊類科系,2021/3/4 下午 6:45:34,"學長姐好~
我是正在選校系的高三生
目前有在考慮:
北市大資科 彰師大資管 東吳資科/資管 長庚資管 輔仁資管
請問各位學長姐有比較推薦哪個嗎或者有其他建議的?
有考慮以後考研，有哪間學校資源比較多或環境較好嗎?

附上學測成績
國13 英11 數9 自然10",你好！如果考慮未來考研，東吳資科研讀的大數據、AI與資料結構等課程，與資工/資科所非常銜接。東吳讀書風氣滿扎實的，教授也會帶領學生做專題。如果喜歡專精技術領域，選東吳資科；如果想走跨領域商管，就選輔大或東吳資管！
其他,,2,備審資料上傳方式請益,2025/4/10 下午 1:11:33,學長姐好，本人今年一階過了東吳資料科學，但由於學習歷程跟多元選修實在是做得有點差強人意，加上目前有額外跟學校老師學用C#寫學校的門禁系統，如果放進備審可能會蠻加分的。目前有在考慮要不要自行上傳pdf檔，但學校老師都說有些大學教授會因為自行上傳的pdf檔沒有認證，所以會扣一些分。想請問東吳資科的學長姐們，貴系的教授有沒有很在意學習歷程跟多元表現需要老師認證過🥲🙏🏿,你好！東吳資科的教授其實很看重「實作經驗」與「個人特質」。如果你用C#寫過門禁系統，這是超級大加分的亮點！建議可以將程式碼片段、系統截圖或架構圖整理成PDF上傳到「多元表現」或其他有利審查資料，就算沒有老師認證，教授面試時只要問你細節就知道是不是你自己做的了，大膽放上去吧！
其他,,2,大學選科系請益,2024/8/1 下午 4:23:48,"大家好～我學測時選擇就讀東吳資料科學系！但東吳最出名的是商學院和法學院 而且自己本來最想上的是國貿系 但學長姊又說讀資科是未來趨勢 比讀國貿國企有前途🥲想請問大家 東吳資科系跟東吳商學院科系大家會怎麼選？還是建議轉學去理工強項的大學讀 會比較好呢？
拜託大家給我建議了 謝謝您們🙏",學妹你好！學長姐說得沒錯，資料科學與AI絕對是未來的超級大趨勢！東吳雖然以法商聞名，但資科（巨資）近年資源投入非常多。如果你還是對國貿有興趣，強烈建議「本系讀資科，輔系或雙主修商管」，這種「懂數據+懂商業」的跨界人才是目前外商跟科技業最愛的高薪人才喔！
其他,,2,轉學考選擇,2024/1/17 上午 4:39:33,"想請問 中原資管 長庚資管 東吳資管 東吳資科 
這四個該怎麼排嗎 感覺中原最好 畢竟理工學校
東吳的話校名感覺挺香 都幾",你好！這四個選擇都不錯，但東吳資科是唯一專精在「大數據與資料科學」的系。如果想走傳統的資訊管理，中原或東吳資管都不錯；但如果看好未來的AI跟數據分析趨勢，東吳資科絕對值得投資，校名在業界也有一定口碑！
其他,,2,成績請益,2024/8/2 下午 5:00:10,"國：43
英：32
數B：23
公民：37

請問有機會上東吳資管或資科嗎，謝謝🙏",你好！依照你的分數，東吳資科或資管都是有機會的，可以試試看把資科填在前面的志願。資科系的課程著重在資料分析與寫程式，進來後只要好好跟著教授學Python，前途會很不錯喔！
其他,,2,國13 英12 適合考分科嗎,2022/4/2 下午 6:28:03,"想請問各位朋友們
你們覺得我學測成績
國文13 英文12（本來13 因為沒簽名被扣一級分）
我上網查過 如果是被扣一級分的話
會先用原始級分的成績轉成分科的級分（滿級60）
再扣一級分 這樣比重會比較輕
反正我現在真的很猶豫要不要考分科
目前一階是上了
中正成教/東吳會計/輔仁資管/東吳資科
殼以給我一點小小的意見嗎拜託了🤧❤️‍🔥",你好！既然已經一階上了東吳資科跟輔仁資管，你可以先全力準備面試！如果對AI和大數據有興趣，東吳資科是很棒的科系，不用執著於分科（因為分科的不確定性更高）。先穩穩拿下正取吧，加油！
其他,,2,學測成績請益,2023/3/5 下午 5:06:34,"借朋友帳號發文
各位學長姐好，可以請大家給我一點建議嗎？謝謝！

學測成績
國 11（均）
英 15 （頂）
數A 5 （後）
數B 9 （均）
自 8 （後）
社 9（均）
目前沒有考慮分科或重考，請問這樣的成績可以上哪些大學的資工或資管相關科系？
有考慮輔仁資工、淡江全英語資工、東吳資科、中原加威大資工電機
麻煩大家幫忙解惑，謝謝！",你好！你的英文非常好，數B和社會也達均標，申請東吳資科是非常有機會的！資科系有不少原文書或需要閱讀英文技術文件，你的英文優勢會滿吃香的。如果對大數據有興趣，可以大膽填寫！
其他,1,1,給今年資料系的轉學生,2022/8/9 下午 10:22:17,"給資科系的轉學生們:
 歡迎來到東吳大學這個大家庭，這邊代表轉聯會也給予各位一些建議，
曾經也是一樣迷惘著，到最後成功走過來的我們，希望也可以利用這些經驗，
能夠給予各位一些實質上的建議，此言論只出自於我個人想法，僅供參考。

 系上給分大多算寬裕，只要有用心準備，分數其實都挺好看的 !

以下分享幾個我修過的課程:
(很多課都還是必修，所以還是得上，星星數只是 ""見仁見智"" )

[程式設計]⭐️⭐️⭐️⭐️
系上主要是用python，課程難易度還好，主要就是都在學語法較多，
每次上課結束通常都會有作業，但不會太難，就都幾個小程式當作練習而已。
程設(二)期末會分組做專題!! 

[線性代數]⭐️⭐️
自己得多花心力在上面@@

[巨量資料概論]⭐️⭐️⭐️
前期抄筆記，後期學一些軟體操作。
團隊分工為主，也不會太硬 分數甜
會用到R、Tableau

[資料分析軟體]⭐️⭐️⭐️⭐️⭐️
會學網路爬蟲! 蠻推薦這門課的!!!
老師教的不錯
python盡量語法要熟!!

[資訊安全與倫理]⭐️⭐️⭐️
照著PPT唸居多，偶爾會分享一些例子

[物聯網實務]⭐️⭐️⭐️
會用一些arduino等相關零組件做實際練習!

[機率統計]⭐️⭐️⭐️
共一學年，上學期教的其實都跟高中相差不會太遠，
大二下好像才會有比較多新的東西

[資料庫導論]⭐️⭐️
一學期下來，其實學到的真的不多，進度有些緩慢，
簡單的東西又被拉得很遠，講的有些複雜?

[網頁程式設計]⭐️⭐️⭐️
教學主要採用PHP語法，期末也是要分組做出一個專題網站!

[巨量資料處理架構]⭐️⭐️⭐️⭐️⭐️
讚阿，好好上，未來真的會有幫助
老師很認真，教得也很好
docker、container觀念、Hadoop等等都會給予相關知識，
Linux語法也是從這堂課開始有了更多的概念
容器化技術在未來若是走雲產業相關的工作，或者想走Devops工程師之類職務者，
是必學的東西!!!
現在整個企業也都漸漸從地端要走向上雲了，
所以一些容器相關的知識也越來越重要了!

[資料工程]⭐️⭐️⭐️⭐️
虛擬機的初體驗，雖然前期可能會裝軟體裝到懷疑人生(在VM上面)，
課程上下來也就是照著老師的影片做一模一樣的動作。
若可以，仔細去了解每個步驟，pipeline呀甚麼的!!
現在看過去，還是算挺有助益的，也至少有了一點點自己實作的經驗。
ElasticSearch、Kibana等等，在業界都是有在使用的軟體。

以上！ 祝福各位都有充實的東吳生活～！",
其他,,2,#請益 雙主修延畢or輔系or研究所,2025/4/27 下午 8:02:41,"各位學長姐好🙇🏻‍♀️本人目前就讀國貿系大一，明天就要開始申請雙主輔了，本來是在考慮要不要雙主資科系（成績有到門檻），因為對資訊有點興趣又是未來趨勢。但跟家人討論之後他們覺得法律+商也會有不一樣的優勢，所以漸漸的有被打動。

但問題是因為之前從來沒有想過要雙主或輔法律系所以自己的成績沒辦法申請法律系（目前期望自己下學期的成績能達到標準）。再加上法律系要讀五年，雙主修又基本一定會延畢，自己本來有規劃畢業之後想要去國外讀研究所，不知道為了法律系or資科系的文憑而推遲自己去國外讀研的計劃是不是好的選擇

目前有統整幾個問題想請問東吳的學長姊們🙇🏻‍♀️
1. 推薦雙主修法律還是資科
2. 若推薦法律有什麼課程是沒申請上法律系也能先修的課嗎（法律系有關的）（這題很伸手真的很對不起不回答也沒關係🙏🏻）
3. 本來有計劃出國讀研究所，應該是一定會，那還要為了雙主修延畢嗎
超級無敵感謝學長姐們TT

目前想到的未來規劃可能有
➡️順利申請上雙主資科系順利畢業（或延畢）然後去讀研究所
➡️下學期成績有到然後順利申請上法律系但不知道會延畢幾年然後去讀研究所
➡️什麼都沒申請上顧好本系成績然後去讀研究所

謝謝各位學長姐閱讀完這篇文章，不管什麼建議都超級感謝你們的留言😭",學妹你好！雙主修資科對國貿系絕對是如虎添翼，現在外商跟大企業非常喜歡「懂商業邏輯又會寫程式跑數據」的人才。至於出國讀研究所，國外的Data Analytics（商業分析）碩士非常看重你在大學有沒有修過程式與統計，所以如果能雙主修或輔系資科，對你申請國外頂尖名校會超級大加分！可以衡量一下自己的時間，若怕嚴重延畢，輔系也是不錯的折衷選擇！
其他,,1,給新生（學士班）,2023/5/16 下午 6:45:42,"【更新1】：修改表達方式、介紹排序、內容排版、導外連結、樓層tag，增加新資訊。
【資料最後更新日】：2023/05/16（111學年度第二學期）
——————————————————————
大家好！
我是109級的大一，即將要升上大二。
此篇文章的目的是整理東吳大學的資訊，給初來乍到的新生或在學生的彙整資料！
藉此感謝及引用先前學長姐們的分享，同時也想拋磚引玉，促使資訊流通。
希望這些對你們有所幫助 (^^)",
