編號,核心整理內容
227,Cheers 2024 企業最愛大學生：東吳大學榮獲金融業「私校第1、全國第5」（僅次於政大、台大、成大、清大）。
228,113碩士班暨碩專班報名截止提醒：推播風格通知線上報名於113.1.8 17:00截止。
229,巨資學院「文華獎學金」頒獎典禮：許晉雄院長與捐資企業董座親頒證書給獲獎師生並舉辦交流座談。
230,112巨資學院專題實作成果發表會告示：2023年12月29日於普仁講堂舉行全日發表會與頒獎典禮。
231,112專題實作成果發表會得獎閉幕合照：全體獲獎學員手持錦旗獎座與評審教授合影。
232,112高中生體驗活動課堂全景：階梯電腦教室坐滿高中生聆聽大數據前沿生活應用。
233,基隆安樂高中學生參訪側拍：安樂高中師生於電腦教室專注聆聽巨資系所AI教學案例。
234,高中生大班參訪俯瞰全景：滿室高中生全神貫注聆聽講師解析智慧醫療與演算法推薦大數據。
235,偶像社群聲量大數據教學：講師藉由IU、BTS、周杰倫等巨星社群聲量解析演算法推薦機制。
236,115申請入學官方 QA LINE 群邀請：美漫波普風格邀請通過一階之考生與家長加入官方LINE社群。
237,2026「預見東吳」全台巡迴升學博覽會：台北場（4/11-12外雙溪）、台中場（4/18全國大飯店）、高雄場（4/19福容大飯店）。
238,「打造你的專屬 AI 助手：Ollama x OpenClaw」工作坊：115年4月9日於雙溪D101舉行，吳政隆教授團隊指導本機大模型部署實戰。
239,未來實驗室設備形象：展示專業防震箱收納之 EMG 肌電圖感測裝置，用於穿戴醫療與運動數據採集。
240,大專生專題實作成果展示：展示「使用大型語言模型與向量資料庫的 Podcast 智慧搜尋系統」（指導教授：邱嘉豪）。
241,115申請入學官方交流群加入圖卡：提供官方 LINE 社群 QR Code 供一階通過考生及家長掃碼提問。
242,東吳資科三大課程模組與職涯藍圖：模組一（AI應用/機器學習工程師）、模組二（資料工程/雲端架構師）、模組三（商務分析/FinTech應用）。
243,東吳大學126年校慶繞場拼圖：金凱儀院長率領資科系全體師生手持標語熱情參與田徑場繞場。
244,智慧創新AI學習中心環境展示暨線上QA預告：以高階電競雙螢幕實驗室為背景，預告資科大哉問線上座談。
245,2026線上QA座談場次表：公告場次1於3月22日(日) 10:00、場次2於3月28日(六) 14:00 舉行。
246,115學年度碩士班招生考試放榜公告：正式宣告碩士班甄試錄取名單放榜。
247,115學年度碩士班一般生錄取名單海報：公布正取5名、備取10名錄取准考證號與考生去識別化姓名。
248,開箱東吳活動實況：展示凱比機器人教學介面，並陳列陽明高中 CAVEDU NVIDIA DLI 培訓課程簡章。
249,開箱東吳攤位指引：引導參觀者至第二大樓5樓2518室第17號攤位體驗自走車、機器人與抽獎。
250,佳必琪（JPC）企業實習招募：招募AI應用助理工程師，時薪210元以上，執行工程圖比對與AOI視覺影像檢查。
251,巨資學院專任教師團隊 3D Q版公仔形象照：七位專任教師化身精緻3D公仔手比愛心，展現團結溫暖師資團隊。
252,2026 AI 人才年會世貿展位實況：東吳巨資「F7」展位擠滿求職者與諮詢學子，展現超高人氣。
253,2026 AI 人才年會參展預告：預告115年1月10日於台北世貿一館參展，主打品牌曝光、精準招生與趨勢掌握。
254,台北世貿一館 AI 博覽會平面圖：標註東吳資科位於鄰近主走道之「F7」黃金展位。
255,凱比機器人軍團矩陣實景：十餘台黑色凱比機器人於AI學習中心一字排開點亮藍眼，展現頂級智慧硬體規格。
256,碩專班迎賓互動贈禮海報：回答凱比問題送精美小禮、填寫問卷送精緻編織手機掛繩。
257,巨資學院四大核心專任師資陣容：介紹金凱儀院長（數位學習）、蘇明祥主任（NLP/語音對話）、吳政隆教授（深度學習）與鄭宏文教授（FinTech/量化交易）。
258,野生老師課堂直擊第四集：主持人「巨資小編」街訪預告直擊鄭宏文老師之智能交易與量化課程。
259,115碩士班及碩專班報名最後倒數：立體黏土小火箭提醒「今天截止！錯過再等一年」。
260,115學年度資料科學系碩士班招生海報：招生5名、全面免筆試（書審+面試），導入 NVIDIA AI 證照培訓。
261,115學年度資料科學系碩士在職專班招生海報：招生48名、全面免筆試（資料審查50%+口試50%），城中校區上課。
262,「巨資小編」校園風尚形象照：長卷髮女主持人佩戴「巨資小編」口罩漫步校園，展現優雅自媒體代言人形象。
263,捕捉野生老師第二集外景錄製花絮：主持人「巨資小編」手持麥克風於校園步道隨機採訪專任教師。
264,捕捉野生老師第一集開篇錄影：主持人「巨資小編」正式開播第一集，拉開名師短影音探訪序幕。
265,葉向原教授專長與課程說明圖：美漫手繪插畫解析機器學習、物聯網、資料探勘、生醫資訊與科學推論系統五大專長。
266,數位虛擬主播形象寫真：宮廷風襯衫女學員虛擬主播形象，詮釋數據科技與人文美學之交融。
267,115學年度碩專班招生總覽海報：彙整全校碩專班名額，特別標註「巨資學院資料科學系碩士在職專班 48名」及線上說明會資訊。
